rank,rank_score,score_delta,margin_pct_mid,recommendation,worth_considering,confidence,analysis_mode,address,price,land_size_sqm,beds,baths,cars,reno_level,reno_cost_low_aud,reno_cost_high_aud,arv_low_aud,arv_high_aud,gross_margin_low_aud,gross_margin_high_aud,oth_cma_aud,oth_cma_pct,oth_cma_group,oth_cma_n,listing_url,listing_url_verified,listing_url_note,top_reasons,deal_breakers,analysed_at,from_cache
1,82,0,32.1%,HIGH PRIORITY,True,MEDIUM,EVIDENCE_PIPELINE,"1038 Pimpama-Jacobs Well Road, Jacobs Well, QLD 4208","$780,000",617,3,1,1,MODERATE,50000,90000,1050000,1150000,180000,320000,1053486,+35.1%,3-bed 1-bath,5,,False,"The returned URL could not be independently matched to this exact address, so it was suppressed.",Strong entry price relative to local renovated sales | Clear potential for 3bd to 4bd conversion | Side access adds significant utility,Flood overlay severity must be confirmed via council search,2026-07-31T09:16:23+00:00,True
2,77,NEW,16.9%,HIGH PRIORITY,True,HIGH,EVIDENCE_PIPELINE,"4 Sovereign Court, Mornington, VIC 3931","$860,000",908,4,,,MODERATE,70000,120000,1050000,1150000,70000,220000,1135479,+32.0%,4+bed 2+bath,7,https://www.realestate.com.au/property/4-sovereign-ct-mornington-vic-3931/,True,Exact street address verified from the URL or listing-page metadata.,Large land size of 908 sqm is a significant asset in Mornington. | Strong market metrics and high auction clearance rates. | 4-bedroom configuration is desirable for the area. | Attractive entry price relative to automated valuations.,,2026-08-05T12:03:19+00:00,False
3,76,0,12.5%,HIGH PRIORITY,True,HIGH,EVIDENCE_PIPELINE,"23 Edwina Drive, Morphett Vale, SA 5162","$649,000",700,3,1,1,MODERATE,70000,120000,800000,850000,31000,131000,823810,+26.9%,3-bed 1-bath,13,https://www.realestate.com.au/property/23-edwina-dr-morphett-vale-sa-5162/,True,Exact street address verified from the URL or listing-page metadata.,Large 700sqm land holding | Strong market metrics in Morphett Vale | Clear potential for 4bd/2ba conversion | Solid brick construction,Significant structural foundation issues | Major non-compliant unapproved extensions,2026-08-04T03:58:55+00:00,True
4,74,NEW,25.4%,CONSIDER,True,MEDIUM,EVIDENCE_PIPELINE,"35 Bromfield Street, Warrnambool, VIC 3280","$550,000",786,3,2,2,MODERATE,70000,120000,750000,820000,80000,200000,669219,+21.7%,3-bed 2+bath,4,https://www.realestate.com.au/property/35-bromfield-st-warrnambool-vic-3280/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Warrnambool | Attractive entry price relative to automated valuations | Large land size provides long-term value,"None identified, pending physical inspection",2026-08-05T12:07:25+00:00,False
5,71,NEW,15.2%,CONSIDER,True,HIGH,EVIDENCE_PIPELINE,"21 Delepan Drive, Tyabb, VIC 3913","$660,000",627,3,1,2,MODERATE,70000,120000,830000,880000,50000,150000,692726,+5.0%,3-bed 1-bath,3,https://www.realestate.com.au/property/21-delepan-dr-tyabb-vic-3913/,True,Exact street address verified from the URL or listing-page metadata.,Strong market metrics in Tyabb | Clear renovation potential to add value | Corner block provides superior land utility,,2026-08-05T12:00:55+00:00,False
6,70,NEW,6.8%,CONSIDER,True,HIGH,EVIDENCE_PIPELINE,"12 Gloria Street, Morphett Vale, SA 5162","$695,000",771,3,1,4,MODERATE,70000,120000,825000,850000,10000,85000,813686,+17.1%,3-bed 1-bath,12,https://www.realestate.com.au/property/12-gloria-st-morphett-vale-sa-5162/,True,Exact street address verified from the URL or listing-page metadata.,Large land size in a high-demand market | Clear potential for value-add through renovation | Flexible floor plan for 4th bedroom conversion,,2026-08-05T11:59:24+00:00,False
7,70,2,12.8%,CONSIDER,True,HIGH,EVIDENCE_PIPELINE,"71 Queens Road, Warrnambool, VIC 3280","$490,000",587,3,1,2,MODERATE,70000,120000,630000,665000,20000,105000,613922,+25.3%,3-bed 1-bath,4,https://www.realestate.com.au/property/71-queens-rd-warrnambool-vic-3280/,True,Exact street address verified from the URL or listing-page metadata.,Attractive entry price relative to market median | Strong renovation potential in a high-demand market | Solid brick construction,Significant structural defects found during inspection | Unresolvable drainage or easement issues,2026-08-05T12:13:37+00:00,False
8,65,0,25.8%,CONSIDER,True,HIGH,EVIDENCE_PIPELINE,"374 Saddle Road, Kettering, TAS 7155","$795,000",12600,3,1,8,COSMETIC,,,950000,1050000,155000,255000,861802,+8.4%,3-bed 1-bath,3,https://www.realestate.com.au/property/374-saddle-rd-kettering-tas-7155/,True,Exact street address verified from the URL or listing-page metadata.,Strong land size and location | Good potential for cosmetic uplift | Clear path to 4-bedroom configuration | Market demand for lifestyle acreage,Significant bushfire compliance costs | Unforeseen structural issues with timber frame,2026-08-03T03:04:13+00:00,True
9,64,NEW,20.2%,CONSIDER,True,MEDIUM,EVIDENCE_PIPELINE,"1 Hurst Street, Lulworth, TAS 7252","$445,000",738,3,1,2,MODERATE,,,580000,630000,50000,130000,650298,+46.1%,3-bed 1-bath,2,https://www.realestate.com.au/property/1-hurst-st-lulworth-tas-7252/,True,Exact street address verified from the URL or listing-page metadata.,Attractive entry price relative to recent sales | Good land size for the area | Potential for cosmetic value-add,Significant structural issues related to age or former commercial use | Prohibitive bushfire compliance costs,2026-08-05T11:59:49+00:00,False
10,62,NEW,10.2%,CONSIDER,True,HIGH,EVIDENCE_PIPELINE,"3 Shaft Street, Edmonton, QLD 4869","$599,000",704,3,1,1,COSMETIC,30000,60000,680000,730000,21000,101000,639566,+6.8%,3-bed 1-bath,1,https://www.realestate.com.au/property/3-shaft-st-edmonton-qld-4869/,True,Exact street address verified from the URL or listing-page metadata.,Strong land size and side access | Competitive entry price point | Tight rental market with low vacancy,None identified based on current evidence,2026-08-05T11:56:11+00:00,False
